fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"39",2022/02/03 20:30:00,2022/02/03 20:42:00,725,7.6,0,0,,"National Weather Service meteorologists surveyed damage in northeast Hale County and determined that it was consistent with an EF2 tornado, with maximum winds near 120 mph. The tornado touched down in the Talladega National Forest along Forest Road 704, where minor tree and limb damage was noted. The path continued northeast, crossing County Road 49, where several trees were snapped, with shingle damage to a single family home and sheet metal was torn from the roof of a barn. The tornado continued northeast crossing Forest Road 718A and tracking along County Road 50, snapping and uprooting trees along its path. An extensive area of tree damage occurred just north of County Road 50, where hundreds of trees were either snapped or uprooted. The tornado then crossed into Bibb County about one-half mile north of Forest Road 731. National Weather Service meteorologists surveyed damage in northwest Bibb County and determined that it was consistent with an EF2 tornado, with maximum winds near 125 mph. The tornado crossed into Bibb County from Hale County about one-half mile north of Forest Road 731. The tornado tracked northeast and snapped or uprooted several trees along a ridge line, just before it crossed over Forest Road 707. Widespread tree damage was noted along Forest Road 751, consistent with EF2 wind speeds. The tornado then turned northward and crossed into Tuscaloosa County about one-half mile east of Forest Road 721. National Weather Service meteorologists surveyed damage in southeast Tuscaloosa County and determined that it was consistent with an EF0 tornado, with maximum winds near 75 mph. The tornado crossed into Tuscaloosa County from Bibb County one-half mile east of Forest Road 721. The tornado tracked northward for a few miles and dissipated just along Lake Payne Road just north of the fork with Boneyard Road. Damage consisted mainly of broken tree branches.",2,125,NWS Storm Survey,AL,,,620977,"1007155, 1007157, 1007159",Tornado,Supercell
"40",2022/02/03 23:02:00,2022/02/03 23:03:00,100,2.13,0,0,,"National Weather Service meteorologists surveyed damage in western Elmore County and determined that it was consistent with an EF0 tornado, with maximum winds near 80 mph. The tornado touched down just east of Todd where large branches and a pine tree were uprooted. The tornado continued northeast and crossed Jordon Lake Reservoir. A swath of uprooted and some snapped trees were observed along the north side of the lake northeastward to Possum Trot Road. The last area of damage occurred at the end of Marina Road along the Coosa River where a few metal carports were damaged and some trees were uprooted.",0,80,NWS Storm Survey,AL,,,620978,"1007279",Tornado,QLCS
"41",2022/02/03 23:33:00,2022/02/03 23:34:00,100,0.2,0,0,,"National Weather Service meteorologists surveyed damage in northeast Elmore County and determined that it was consistent with an EF0 tornado, with maximum winds near 70 mph. A brief tornado touched down near the intersection of Martin Dam Road and Griffin Hall Road. Several trees were uprooted and one home suffered damage from a fallen tree. Another home had some shingle loss. One outbuilding had metal paneling blown off and another had its roof lofted toward the south. A faint TDS was also noted on radar.",0,70,NWS Storm Survey,AL,,,620979,"1007280",Tornado,QLCS
"42",2022/02/17 22:14:00,2022/02/17 22:19:00,475,3.37,0,0,,"National Weather Service meteorologists surveyed damage in far northern Tuscaloosa County and determined that it was consistent with an EF0 tornado, with maximum winds near 65 mph. The tornado touched down about three-quarters of a mile northwest of the intersection of Old Jasper Road and Doc Nabors Road. It tracked northeast and crossed into Fayette County just west of Union Grove Road. Damage consisted of mostly of broken large tree banches. National Weather Service meteorologists surveyed damage in southeast Fayette County and determined that it was consistent with an EF1 tornado, with maximum winds near 110 mph. This tornado crossed into Fayette County from Tuscaloosa County just west of Union Grove Road. The tornado tracked northeast across Highway 83 where several trees were uprooted. The storm produced the most tree damage as it approached County Road 46, where numerous trees were uprooted and snapped. There was also minor damage to a manufactured home and an overturned outdoor shed. The tornado lifted just after crossing County Road 46.",1,110,NWS Storm Survey,AL,,,620980,"1008691, 1008692",Tornado,Supercell
"43",2022/02/17 22:53:00,2022/02/17 22:58:00,1100,4.65,0,0,,"National Weather Service meteorologists surveyed damage in northwest Jefferson County and determined that it was consistent with an EF1 tornado, with maximum winds near 100 mph. The tornado touched down just south of Interstate 22 just west of the Highway 78 exit. It tracked northeast crossing Highway 78 and Lynndale Road. Multiple soft and hardwood trees were uprooted and snapped, and several semi trucks were overturned on Interstate 22. The tornado continued northeast and crossed Lynns Crossing Road where it began to weaken and lift.",1,100,NWS Storm Survey,AL,,,620981,"1008693",Tornado,Supercell
"44",2022/02/18 00:08:00,2022/02/18 00:22:00,400,12.64,0,0,,"National Weather Service meteorologists surveyed damage in northeast Shelby County and determined that it was consistent with an EF1 tornado, with maximum winds near 95 mph. A tornado touched down in the Lake Purdy community near Brook Highland Parkway. The tornado tracked northeast causing minor roof damage to an apartment complex. Large trees were snapped and uprooted as it croosed Highway 119 near a strip mall and a landscaping company. The tornado continued northeast snapping a large stand of softwoods on the east side of Highway 119. The Greystone community saw a large numbers of trees uprooted. At least one home had a tree fall on the structure. The tornado was likely at its widest and most intense near this location. The tornado crossed into Jefferson County near Sutherland Place Road. National Weather Service meteorologists surveyed damage in southeast Jefferson County and determined that it was consistent with an EF1 tornado, with maximum winds near 95 mph. This tornado crossed over from Shelby County into Jefferson County near Southerland Place Drive. It straddled the Jefferson-Shelby County line producing mostly uprooted and snapped trees on the west side of Double Oak Mountain. Sporadic tree and power line damage was observed along Highway 25 with several homes in the Oak Crossing area receiving minor roof and structural damage. One large tree fell through a manufactured home and destroyed the structure. The tornado began to weaken rapidly as it approached Highway 78. The tornado crossed into St. Clair County near Moss Avenue. National Weather Service meteorologists surveyed damage in southwest St. Clair County County and determined that it was consistent with an EF0 tornado, with maximum winds near 65 mph. This tornado crossed into St. Clair County from Jefferson County near Moss Avenue. It dissipated soon after it moved into St. Clair County with some limited loss of roofing material to a Warehouse.",1,95,NWS Storm Survey,AL,,,620982,"1008694, 1008698, 1008701",Tornado,Supercell
"45",2022/02/22 11:24:00,2022/02/22 11:28:00,50,2.81,0,0,0,A weak tornado tracked across open fields west of Bay causing little or no damage.,0,,NWS Storm Survey,AR,,,620983,"1010700",Tornado,QLCS
"46",2022/02/22 12:28:00,2022/02/22 12:30:00,100,0.69,0,0,50000,"This weak tornado touched down in agricultural fields south of Highway 1128. As it moved north along Highway 1127, it damaged hog barns, mainly removing roofs. The tornado dissipated in a field just east of Highway 1127. A couple of trees were uprooted. Peak winds were estimated near 75 mph.",0,75,NWS Storm Survey,KY,,,620984,"1001951",Tornado,QLCS
"47",2022/02/23 02:22:00,2022/02/23 02:25:00,110,3.13,0,0,,"The main damage indicators from this tornado were at least 2 downed or uprooted trees and multiple areas of large branches that were downed by the winds. The damage occurred mainly along Grimwood Drive, west of U.S. Highway 431 in Hazel Green. Damage also extended into a neighborhood off Grimwood Drive near Bentley and Cherrywood Drive. Very minor, small branch damage was noted just east of U.S. Highway 431 on Walker Lane south of Briar Crest Rd. This is likely where the weak, short-lived tornado dissipated.",0,75,NWS Storm Survey,AL,,,620985,"1008589",Tornado,Supercell
"48",2022/03/05 21:02:00,2022/03/05 21:02:00,17,0.01,0,0,,Multiple storm chasers reported a tornado northeast of Emerson that produced minor damage.,0,,Storm Chaser,IA,,,620986,"1003859",Tornado,Supercell
"49",2022/03/05 21:38:00,2022/03/05 21:40:00,40,1.48,0,0,0,"Storm chaser video and high resolution satellite imagery both indicate a brief tornado to the southwest of Corning. The tornado remained in rural open fields and interacted with no damage indicators, hence the EFU rating.",,,Storm Chaser,IA,,,620987,"1007059",Tornado,Supercell
"50",2022/03/05 22:01:00,2022/03/05 22:05:00,100,2.84,0,0,10000,"Storm Chaser video and high resolution satellite imagery provide solid evidence for this tornado. This tornado began just north of 150th street west of P13 and moved east northeast. It destroyed a small outbuilding shortly after developing and then remained mostly in rural cropland. It did produce some minor damage to a farmstead on the county line road before entering Union county. This tornado moved into Union county from Adams county. The tornado remained in rural cropland for its short path in Adams county. Not encountering any damage indicators in the county, it was rated EFU.",0,,Storm Chaser,IA,,,620988,"1007061, 1007062",Tornado,Supercell
